image_id,image_file,pts_file,dataset_type,train_type,face_rect_x1,face_rect_y1,face_rect_x2,face_rect_y2,landmarks_in_bbox
100032540_1,100032540_1.jpg,100032540_1.pts,300W,train,374.0,1201.0,1262.0,313.0,68.0
100040721_1,100040721_1.jpg,100040721_1.pts,300W,train,174.0,506.0,530.0,150.0,68.0
100040721_2,100040721_2.jpg,100040721_2.pts,300W,train,174.0,456.0,530.0,100.0,68.0
1002681492_1,1002681492_1.jpg,1002681492_1.pts,300W,train,251.0,587.0,765.0,73.0,68.0
1004467229_1,1004467229_1.jpg,1004467229_1.pts,300W,train,124.0,318.0,421.0,21.0,68.0
100466187_1,100466187_1.jpg,100466187_1.pts,300W,train,312.0,1000.0,1051.0,261.0,68.0
100591971_1,100591971_1.jpg,100591971_1.pts,300W,train,45.0,833.0,661.0,217.0,68.0
1012675629_1,1012675629_1.jpg,1012675629_1.pts,300W,train,260.0,846.0,999.0,107.0,68.0
1012675629_2,1012675629_2.jpg,1012675629_2.pts,300W,train,259.0,833.0,875.0,217.0,68.0
1018882799_1,1018882799_1.jpg,1018882799_1.pts,300W,train,648.0,2076.0,2182.0,542.0,68.0
1019068877_1,1019068877_1.jpg,1019068877_1.pts,300W,train,436.0,1201.0,1323.0,313.0,68.0
1030333538_1,1030333538_1.jpg,1030333538_1.pts,300W,train,174.0,576.0,790.0,-39.0,68.0
103236168_1,103236168_1.jpg,103236168_1.pts,300W,train,259.0,833.0,875.0,217.0,68.0
103236168_2,103236168_2.jpg,103236168_2.pts,300W,train,259.0,705.0,875.0,88.0,68.0
1033312112_1,1033312112_1.jpg,1033312112_1.pts,300W,train,374.0,1201.0,1262.0,313.0,68.0
1037255513_1,1037255513_1.jpg,1037255513_1.pts,300W,train,-198.0,2982.0,2982.0,-197.0,68.0
103770709_1,103770709_1.jpg,103770709_1.pts,300W,train,88.0,533.0,704.0,-82.0,68.0
103887554_1,103887554_1.jpg,103887554_1.pts,300W,train,140.0,2236.0,1980.0,396.0,68.0
10405299_1,10405299_1.jpg,10405299_1.pts,300W,train,312.0,1324.0,1200.0,436.0,68.0
10405424_1,10405424_1.jpg,10405424_1.pts,300W,train,154.0,1219.0,1218.0,154.0,68.0
10406776_1,10406776_1.jpg,10406776_1.pts,300W,train,185.0,1197.0,1463.0,-80.0,68.0
104074861_1,104074861_1.jpg,104074861_1.pts,300W,train,312.0,846.0,1051.0,107.0,68.0
1045887134_1,1045887134_1.jpg,1045887134_1.pts,300W,train,-47.0,846.0,691.0,107.0,68.0
1045890692_1,1045890692_1.jpg,1045890692_1.pts,300W,train,-47.0,949.0,691.0,209.0,68.0
1050957686_1,1050957686_1.jpg,1050957686_1.pts,300W,train,215.0,730.0,729.0,216.0,68.0
1050957686_2,1050957686_2.jpg,1050957686_2.pts,300W,train,209.0,638.0,637.0,209.0,68.0
